Application Number,InvoiceCode,TransactionID,PaidAmount,TransactionDate,Status
240110003694,NVS_240110003694_17112584741684,IGARAOMBA7,500,45377,Success
240110099552,NVS_240110099552_17119448937890,IGARBKGRU2,1000,45384,Success
240110050207,NVS_240110050207_17115406237282,IGARAXCJX9,1000,45379,Success
240110004935,NVS_240110004935_17112044023947,195256382,500,45377,Success
240110096455,NVS_240110096455_17118963891757,94054219,1000,45384,Success
240110076011,NVS_240110076011_17118781369257,207042371,1000,45384,Success
240110087913,NVS_240110087913_17118057361537,206999210,3000,45382,Success
240110004516,NVS_240110004516_17112044443801,77659423791,2000,45377,Success
240110105925,NVS_240110105925_17119813458950,77724185673,1000,45384,Success
240110079642,NVS_240110079642_17119818156621,77724256871,500,45384,Success
240110105054,NVS_240110105054_17119786172498,77723813956,1000,45384,Success
240110104265,NVS_240110104265_17119708265048,77722912556,1000,45384,Success
240110086081,NVS_240110086081_17117982488320,77707332036,1000,45382,Success
240110054187,NVS_240110054187_17115628338684,77688185717,500,45379,Success
240110022423,NVS_240110022423_17113492341125,77669744070,1000,45377,Success
240110020755,NVS_240110020755_17113369774470,77668566278,1000,45377,Success
240110016403,NVS_240110016403_17113446203968,77669245710,1000,45377,Success
240110057244,NVS_240110057244_17116069565183,77690494118,500,45381,Success
240110055362,NVS_240110055362_17115926241853,77689019152,2000,45381,Success
240110038752,NVS_240110038752_17115969119947,77689319034,1000,45381,Success
240110056282,NVS_240110056282_17115996738512,77689555235,1000,45381,Success
240110056759,NVS_240110056759_17116015966684,77689764834,1000,45381,Success
240110078843,NVS_240110078843_17117330192365,77702538870,500,45381,Success
240110018115,NVS_240110018115_17117648191271,77703532355,500,45382,Success
240110020266,NVS_240110020266_17117649371285,77703548077,1000,45382,Success
240110080271,NVS_240110080271_17117691504448,77703827755,3000,45382,Success
240110106009,NVS_240110106009_17119830459498,77724430830,2000,45384,Success
240110044146,NVS_240110044146_17115167553342,77682901832,1000,45379,Success
240110044595,NVS_240110044595_17115189592384,77683169397,1500,45379,Success
240110045172,NVS_240110045172_17115200741623,77683308916,2000,45379,Success
240110045116,NVS_240110045116_17115202267574,77683339273,1000,45379,Success
240110004096,NVS_240110004096_17112066656692,77659715837,1000,45377,Success
240110005938,NVS_240110005938_17112092755805,77660024074,1000,45377,Success
240110040231,NVS_240110040231_17114688547919,77680132919,1000,45378,Success
240110039828,NVS_240110039828_17114691414661,77680183111,1000,45378,Success
240110004616,NVS_240110004616_17112042649569,77659397516,3000,45377,Success
240110040991,NVS_240110040991_17114744039125,77680956074,2000,45378,Success
240110020126,NVS_240110020126_17114809645148,77681338871,500,45379,Success
240110032762,NVS_240110032762_17115105060205,77682284791,500,45379,Success
240110054768,NVS_240110054768_17116097871151,77690838711,500,45381,Success
240110050639,NVS_240110050639_17116119458902,77691110838,1000,45381,Success
240110067138,NVS_240110067138_17117032114635,77699025597,1000,45381,Success
240110009947,NVS_240110009947_17116975055387,77698298992,1500,45381,Success
240110009704,NVS_240110009704_17112603986170,77662736438,1500,45377,Success
240110011841,NVS_240110011841_17112639667315,77663179111,1000,45377,Success
240110012223,NVS_240110012223_17112645186651,77663242151,1500,45377,Success
240110008009,NVS_240110008009_17112212498178,77660993312,1000,45377,Success
240110004204,NVS_240110004204_17112499071562,77661690270,1000,45377,Success
240110001998,NVS_240110001998_17112551498378,77662153953,1000,45377,Success
240110010059,NVS_240110010059_17112566760169,77662316272,3000,45377,Success
240110012151,NVS_240110012151_17112650059899,77663306832,1000,45377,Success
240110012859,NVS_240110012859_17112681345826,77663695439,2500,45377,Success
240110012912,NVS_240110012912_17112687614346,77663774799,1500,45377,Success
240110039310,NVS_240110039310_17115209256206,77683423234,1000,45379,Success
240110028077,NVS_240110028077_17115220199247,77683592714,500,45379,Success
240110046195,NVS_240110046195_17115242745837,77683870235,1000,45379,Success
240110047427,NVS_240110047427_17115292265276,77684472152,1500,45379,Success
240110022872,NVS_240110022872_17113508265682,77669912199,500,45377,Success
240110022551,NVS_240110022551_17113513307307,77669973350,1500,45377,Success
240110013621,NVS_240110013621_17113557247904,77670429355,1000,45377,Success
240110024272,NVS_240110024272_17113618376728,77671005674,500,45377,Success
240110024349,NVS_240110024349_17113629776171,77671098917,1000,45377,Success
240110024747,NVS_240110024747_17113650355277,77671285635,3000,45377,Success
240110025347,NVS_240110025347_17113681297074,77671554913,1000,45377,Success
240110025277,NVS_240110025277_17113686025853,77671610758,500,45377,Success
240110010920,NVS_240110010920_17113703452008,77671761835,1000,45377,Success
240110021112,NVS_240110021112_17113736406374,77672098717,500,45377,Success
240110058918,NVS_240110058918_17116086891153,77690695679,1000,45381,Success
240110065398,NVS_240110065398_17118804519198,77714608592,500,45384,Success
240110093314,NVS_240110093314_17118708965292,77713376916,1000,45384,Success
240110068216,NVS_240110068216_17118728779324,77713649830,3000,45384,Success
240110069268,NVS_240110069268_17118855529841,77715162953,1000,45384,Success
240110089753,NVS_240110089753_17118885148285,77715495350,1000,45384,Success
240110078948,NVS_240110078948_17118897139592,77715631275,1000,45384,Success
240110005793,NVS_240110005793_17112100429596,77660114472,1000,45377,Success
240110102671,NVS_240110102671_17119869477556,77725020875,1000,45384,Success
240110107450,NVS_240110107450_17119916590667,77725576479,2000,45384,Success
240110032522,NVS_240110032522_17114369674178,77676330595,500,45378,Success
240110033156,NVS_240110033156_17114385471457,77676504679,500,45378,Success
240110030425,NVS_240110030425_17114386197520,77676526592,1500,45378,Success
240110033734,NVS_240110033734_17114397031624,77676637272,500,45378,Success
240110034094,NVS_240110034094_17114408025551,77676764715,1000,45378,Success
240110097149,NVS_240110097149_17119900952925,77725393833,1000,45384,Success
240110028776,NVS_240110028776_17114418887653,77676893357,1000,45378,Success
240110024795,NVS_240110024795_17114431189814,77677017954,1500,45378,Success
240110072247,NVS_240110072247_17119562073778,77721073512,1000,45384,Success
240110101238,NVS_240110101238_17119543362232,77720792439,1000,45384,Success
240110081186,NVS_240110081186_17117764076450,77704610274,1000,45382,Success
240110081545,NVS_240110081545_17117764661100,77704613831,3000,45382,Success
240110055815,NVS_240110055815_17119355208185,77718891279,500,45384,Success
240110099724,NVS_240110099724_17119472935661,77719884479,1000,45384,Success
240110066591,NVS_240110066591_17116444585056,77694908633,1000,45381,Success
240110066734,NVS_240110066734_17116444059229,77694927756,1000,45381,Success
240110054141,NVS_240110054141_17116485887091,77695348992,1500,45381,Success
240110032557,NVS_240110032557_17116353042241,77693760159,1500,45381,Success
240110065285,NVS_240110065285_17116366219736,77693947272,1000,45381,Success
240110065283,NVS_240110065283_17116369269563,77693988353,1000,45381,Success
240110035340,NVS_240110035340_17114470072047,77677421956,500,45378,Success
240110035564,NVS_240110035564_17114474635510,77677469797,1000,45378,Success
240110096791,NVS_240110096791_17118965273981,77716675550,500,45384,Success
240110096688,NVS_240110096688_17118953322509,77716461313,500,45384,Success
240110064679,NVS_240110064679_17118953468187,77716469953,1000,45384,Success
240110096643,NVS_240110096643_17118972966855,77716798639,500,45384,Success
240110090101,NVS_240110090101_17118980602723,77716929996,500,45384,Success
240110095045,NVS_240110095045_17118985243498,77716972870,500,45384,Success
240110096671,NVS_240110096671_17118987166689,77716993477,1000,45384,Success
240110097062,NVS_240110097062_17118987437701,77717003359,500,45384,Success
240110096514,NVS_240110096514_17118988161519,77717007834,500,45384,Success
240110037631,NVS_240110037631_17118989533906,77717037074,500,45384,Success
240110089214,NVS_240110089214_17119007237624,77717270992,500,45384,Success
240110097233,NVS_240110097233_17119028143659,77717538313,3000,45384,Success
240110097966,NVS_240110097966_17119046478309,77717756757,1000,45384,Success
240110003555,NVS_240110003555_17111988684986,77658765991,500,45377,Success
240110002802,NVS_240110002802_17111955919405,77658431399,500,45377,Success
240110017935,NVS_240110017935_17112962172349,77666829033,1000,45377,Success
240110018443,NVS_240110018443_17112970601161,77666929994,1000,45377,Success
240110074882,NVS_240110074882_17117108092886,77699863237,500,45381,Success
240110074719,NVS_240110074719_17117107970297,77699865275,500,45381,Success
240110018213,NVS_240110018213_17112956065468,77666758997,1000,45377,Success
240110034420,NVS_240110034420_17116347055076,77693680354,3000,45381,Success
240110064374,NVS_240110064374_17116348451699,77693699353,500,45381,Success
240110054010,NVS_240110054010_17116290285309,77693002438,500,45381,Success
240110061520,NVS_240110061520_17116260950066,77692657752,1000,45381,Success
240110093620,NVS_240110093620_17118706974700,77713333792,500,45384,Success
240110000078,NVS_240110000078_17111710006902,77655592350,1000,45377,Success
240110000506,NVS_240110000506_17111776962106,77656438150,1000,45377,Success
240110035475,NVS_240110035475_17118702192933,77713274114,1000,45384,Success
240110000238,NVS_240110000238_17111751904428,77656096678,1500,45377,Success
240110000915,NVS_240110000915_17111829592697,77657107519,500,45377,Success
240110085564,NVS_240110085564_17117943336872,77706900196,1000,45382,Success
240110047918,NVS_240110047918_17115429572151,77685885113,1000,45379,Success
240110049292,NVS_240110049292_17115394929741,77685502516,500,45379,Success
240110050115,NVS_240110050115_17115395805367,77685507711,500,45379,Success
240110050202,NVS_240110050202_17115413308158,77685698996,500,45379,Success
240110025171,NVS_240110025171_17113812856457,77673052830,1000,45377,Success
240110028224,NVS_240110028224_17113898006720,77673858116,1500,45377,Success
240110030476,NVS_240110030476_17114288633213,77675370433,500,45378,Success
240110030313,NVS_240110030313_17114276095728,77675241070,2000,45378,Success
240110030809,NVS_240110030809_17114295312936,77675448793,3000,45378,Success
240110030327,NVS_240110030327_17114292762330,77675412313,500,45378,Success
240110028034,NVS_240110028034_17113881272161,77673752914,2000,45377,Success
240110021434,NVS_240110021434_17114259193662,77675077079,500,45378,Success
240110082051,NVS_240110082051_17117809457257,77705258238,1500,45382,Success
240110060085,NVS_240110060085_17117789794789,77704984279,1000,45382,Success
240110081094,NVS_240110081094_17117774534253,77704787514,1000,45382,Success
240110082029,NVS_240110082029_17117782075241,77704884870,1000,45382,Success
240110046970,NVS_240110046970_17116125004104,77691173754,1000,45381,Success
240110075239,NVS_240110075239_17118500862103,77711116670,2000,45384,Success
240110091035,NVS_240110091035_17118508249799,77711157596,500,45384,Success
240110051318,NVS_240110051318_17115460703518,77686197154,500,45379,Success
240110052629,NVS_240110052629_17115561871620,77687540517,1000,45379,Success
240110070408,NVS_240110070408_17116943034026,77697832152,2000,45381,Success
240110070920,NVS_240110070920_17116943289273,77697838355,1000,45381,Success
240110069713,NVS_240110069713_17116921821528,77697575919,1000,45381,Success
240110070188,NVS_240110070188_17116927376449,77697634476,1000,45381,Success
240110069362,NVS_240110069362_17116885643448,77697111592,1500,45381,Success
240110069806,NVS_240110069806_17116910742457,77697445396,500,45381,Success
240110070117,NVS_240110070117_17116914968056,77697487357,1500,45381,Success
240110054557,NVS_240110054557_17116212664308,77692157399,1000,45381,Success
240110102019,NVS_240110102019_17119583344381,77721354312,1000,45384,Success
240110102140,NVS_240110102140_17119595802442,77721515437,3000,45384,Success
240110102776,NVS_240110102776_17119623911557,77721894433,2000,45384,Success
240110034079,NVS_240110034079_17119574066693,77721231194,500,45384,Success
240110101189,NVS_240110101189_17119581855478,77721326678,500,45384,Success
240110036709,NVS_240110036709_17114522913688,77677949079,1000,45378,Success
240110036364,NVS_240110036364_17114503038012,77677752677,1000,45378,Success
240110036634,NVS_240110036634_17114517714923,77677901438,1000,45378,Success
240110103182,NVS_240110103182_17119650245403,77722231319,1000,45384,Success
240110012235,NVS_240110012235_17112804443683,77665048838,1000,45377,Success
240110014176,NVS_240110014176_17112754055958,77664482074,1000,45377,Success
240110015057,NVS_240110015057_17112758527778,77664520790,1000,45377,Success
240110014865,NVS_240110014865_17112758967803,77664528394,1000,45377,Success
240110007644,NVS_240110007644_17116881525155,77697055233,1000,45381,Success
240110037625,NVS_240110037625_17114584532413,77678638793,1000,45378,Success
240110038989,NVS_240110038989_17114640540929,77679404439,1000,45378,Success
240110040000,NVS_240110040000_17114684832749,77680067035,1000,45378,Success
240110028554,NVS_240110028554_17114685395838,77680069471,1500,45378,Success
240110039114,NVS_240110039114_17114665657542,77679797279,1500,45378,Success
240110008918,NVS_240110008918_17112867810139,77665687590,1000,45377,Success
240110014807,NVS_240110014807_17112751012717,77664453152,500,45377,Success
240110014970,NVS_240110014970_17112831530540,77665311397,500,45377,Success
240110041677,NVS_240110041677_17114777176774,202445161115133,1000,45378,Success
240110040401,NVS_240110040401_17114697749757,202445134923164,500,45378,Success
240110041786,NVS_240110041786_17115945608467,202445347343123,1000,45381,Success
240110043127,NVS_240110043127_17115119752964,202445293966861,1000,45379,Success
240110078814,NVS_240110078814_17117319022724,202445483997490,1000,45381,Success
240110066232,NVS_240110066232_17117319689893,202445416032645,1000,45381,Success
240110066155,NVS_240110066155_17117620230132,202445568954157,2000,45384,Success
240110079434,NVS_240110079434_17117368560277,202445481515700,1000,45381,Success
240110002362,NVS_240110002362_17117369081871,202445581493929,1000,45384,Success
240110053705,NVS_240110053705_17116032120888,202445301658027,1500,45381,Success
240110057342,NVS_240110057342_17116068902489,202445396476884,500,45381,Success
240110086633,NVS_240110086633_17118001690851,202445500144392,500,45384,Success
240110085116,NVS_240110085116_17118005140312,202445599723009,2000,45384,Success
240110019336,NVS_240110019336_17113201719919,202445010139954,2500,45377,Success
240110021091,NVS_240110021091_17113385101594,202445019284811,1000,45377,Success
240110061195,NVS_240110061195_17117968635701,202445548469847,500,45384,Success
240110103783,NVS_240110103783_17119686420429,202445765648901,500,45384,Success
240110072606,NVS_240110072606_17117986450239,202445550635097,1000,45384,Success
240110104694,NVS_240110104694_17119742544811,202445762844039,1500,45384,Success
240110104401,NVS_240110104401_17119729572430,202445763479190,3000,45384,Success
240110103210,NVS_240110103210_17119753811128,202445737754010,1000,45384,Success
240110105032,NVS_240110105032_17119756411633,202445737853983,1000,45384,Success
240110073263,NVS_240110073263_17119757578821,202445762095681,1000,45384,Success
240110105097,NVS_240110105097_17119760529274,202445761962644,1000,45384,Success
240110002878,NVS_240110002878_17112027567993,202444898564169,2000,45377,Success
240110072418,NVS_240110072418_17119541558953,202445772887843,1000,45384,Success
240110056404,NVS_240110056404_17119468184413,202445776548965,500,45384,Success
240110065496,NVS_240110065496_17116398564995,202445379995500,1000,45381,Success
240110051877,NVS_240110051877_17116409147107,202445320529729,3000,45381,Success
240110007219,NVS_240110007219_17112145449829,202444892688612,1000,45377,Success
240110073775,NVS_240110073775_17117740713097,202445537085649,4000,45384,Success
240110062521,NVS_240110062521_17117742779245,202445537165827,500,45384,Success
240110081249,NVS_240110081249_17117753856065,202445537776263,1000,45384,Success
240110081438,NVS_240110081438_17117755130619,202445537777839,500,45384,Success
240110098305,NVS_240110098305_17119565124081,202445771662962,1000,45384,Success
240110000776,NVS_240110000776_17117766772022,202445538367277,1000,45384,Success
240110099238,NVS_240110099238_17119420456618,202445721049887,1000,45384,Success
240110097241,NVS_240110097241_17119425525506,202445778576298,4000,45384,Success
240110032398,NVS_240110032398_17114416038530,202445120961635,1000,45378,Success
240110017372,NVS_240110017372_17114393872196,202445180281259,500,45378,Success
240110031890,NVS_240110031890_17114346216510,202445182658451,1000,45378,Success
240110107599,NVS_240110107599_17119935979191,202445753140065,1000,45384,Success
240110106815,NVS_240110106815_17119882113418,202445755853072,500,45384,Success
240110097758,NVS_240110097758_17119906414315,202445745602253,500,45384,Success
240110107085,NVS_240110107085_17119897873734,202445744926356,2000,45384,Success
240110077784,NVS_240110077784_17119886020024,202445744366054,500,45384,Success
240110070047,NVS_240110070047_17118914329540,202445645747039,1000,45384,Success
240110068996,NVS_240110068996_17118849572658,202445642546991,500,45384,Success
240110095384,NVS_240110095384_17118866353735,202445643332285,1000,45384,Success
240110002478,NVS_240110002478_17118784762131,202445639296573,1000,45384,Success
240110019015,NVS_240110019015_17118836546125,202445641891157,500,45384,Success
240110094831,NVS_240110094831_17118822838195,202445658798215,500,45384,Success
240110024098,NVS_240110024098_17113609323410,202445030533049,1000,45377,Success
240110021390,NVS_240110021390_17113613790852,202445030719652,500,45377,Success
240110047017,NVS_240110047017_17115279281133,202445285992288,1000,45379,Success
240110045874,NVS_240110045874_17115248478772,202445212524473,1000,45379,Success
240110010413,NVS_240110010413_17112626746632,202444931386197,1000,45377,Success
240110006557,NVS_240110006557_17112231940845,202444911664761,1000,45377,Success
240110088903,NVS_240110088903_17118126805144,202445506410645,500,45384,Success
240110047857,NVS_240110047857_17115372032012,202445281288613,3000,45379,Success
240110072256,NVS_240110072256_17116991461702,202445449605316,1000,45381,Success
240110073417,NVS_240110073417_17117084151272,202445404262758,1000,45381,Success
240110057103,NVS_240110057103_17116080969821,202445395871332,1000,45381,Success
240110059158,NVS_240110059158_17116112576495,202445305667079,500,45381,Success
240110003048,NVS_240110003048_17116763350776,202445438237502,500,45381,Success
240110087563,NVS_240110087563_17118037579294,202445501904294,1000,45384,Success
240110086918,NVS_240110086918_17118038054253,202445501977272,500,45384,Success
240110087217,NVS_240110087217_17118048680732,202445502460881,500,45384,Success
240110087377,NVS_240110087377_17118052662127,202445502653424,2000,45384,Success
240110088190,NVS_240110088190_17118075941411,202445596141602,1000,45384,Success
240110087685,NVS_240110087685_17118140758225,202445592924096,1000,45384,Success
240110089089,NVS_240110089089_17118140867248,202445507084804,1000,45384,Success
240110087574,NVS_240110087574_17118102534574,202445505172094,500,45384,Success
240110034506,NVS_240110034506_17115309297480,202445284496047,2000,45379,Success
240110018289,NVS_240110018289_17114630012664,202445168427304,3000,45378,Success
240110037782,NVS_240110037782_17114564512991,202445171755970,500,45378,Success
240110055182,NVS_240110055182_17116850006002,202445442553673,3000,45381,Success
240110011825,NVS_240110011825_17112712833077,202444935706800,2000,45377,Success
240110013492,NVS_240110013492_17112714495553,202444964216638,1000,45377,Success
240110102669,NVS_240110102669_17119626937995,202445731395089,1000,45384,Success
240110102989,NVS_240110102989_17119641079314,202445732100596,1500,45384,Success
240110034822,NVS_240110034822_17116215038936,202445389216017,1000,45381,Success
240110062048,NVS_240110062048_17116215232817,202445310806946,1000,45381,Success
240110061825,NVS_240110061825_17116224206102,202445311256124,1000,45381,Success
240110060938,NVS_240110060938_17116233272366,202445388274422,1000,45381,Success
240110069914,NVS_240110069914_17116900409845,202445445080425,1000,45381,Success
240110089645,NVS_240110089645_17118157956794,202445507929294,1000,45384,Success
240110071171,NVS_240110071171_17116967989595,202445448475034,1000,45381,Success
240110089914,NVS_240110089914_17118177922872,202445591078238,1000,45384,Success
240110088919,NVS_240110088919_17118179404336,202445509013132,500,45384,Success
240110089118,NVS_240110089118_17118180527163,202445509099873,2000,45384,Success
240110090465,NVS_240110090465_17118225754088,202445511364038,1000,45384,Success
240110051909,NVS_240110051909_17115502828239,202445225186278,1000,45379,Success
240110052503,NVS_240110052503_17115507956824,202445274534212,1000,45379,Success
240110055307,NVS_240110055307_17116129317430,202445306502501,1000,45381,Success
240110058263,NVS_240110058263_17116151435751,202445392378031,1000,45381,Success
240110060393,NVS_240110060393_17116142725748,202445392849790,1000,45381,Success
240110060931,NVS_240110060931_17116165583593,202445308298370,1000,45381,Success
240110061068,NVS_240110061068_17116183080651,202445390806744,500,45381,Success
240110061116,NVS_240110061116_17116186703385,202445309425392,1500,45381,Success
240110061315,NVS_240110061315_17116196365954,202445390086633,1000,45381,Success
240110081295,NVS_240110081295_17117777948017,202445561040976,500,45384,Success
240110048170,NVS_240110048170_17117044790357,202445402268166,1000,45381,Success
240110061276,NVS_240110061276_17116191149505,202445390329492,1000,45381,Success
240110029647,NVS_240110029647_17114243641528,202445112234999,1000,45378,Success
240110027161,NVS_240110027161_17113888014853,202445044484801,1000,45377,Success
240110028798,NVS_240110028798_17114019868633,202445101078823,1000,45378,Success
240110030908,NVS_240110030908_17114309483558,202445184483439,1000,45378,Success
240110085263,NVS_240110085263_17117950583036,202445547604118,1000,45384,Success
240110083773,NVS_240110083773_17117918942389,202445554019093,2000,45384,Success
240110084900,NVS_240110084900_17117905778407,202445545378402,3000,45384,Success
240110084929,NVS_240110084929_17117928599695,202445553524360,500,45384,Success
240110091417,NVS_240110091417_17118608435532,202445630475960,1000,45384,Success
240110091864,NVS_240110091864_17118618297761,202445669048887,1000,45384,Success
240110092383,NVS_240110092383_17118632852897,202445631674331,1000,45384,Success
240110085745,NVS_240110085745_17117957664391,202445552065375,1000,45384,Success
240110092506,NVS_240110092506_17118642897971,202445632179493,1000,45384,Success
240110020025,NVS_240110020025_17118672720716,202445666301311,3000,45384,Success
240110063461,NVS_240110063461_17116282371335,202445314152651,1000,45381,Success
240110063284,NVS_240110063284_17116285409225,202445385704743,500,45381,Success
240110039968,NVS_240110039968_17117258553713,202445412976015,1000,45381,Success
240110061545,NVS_240110061545_17116246880349,202445387613763,1000,45381,Success
240110052683,NVS_240110052683_17117231039539,202445488393419,1000,45381,Success
240110077411,NVS_240110077411_17117237910773,202445411931492,1000,45381,Success
240110077372,NVS_240110077372_17117240167235,202445487960317,1000,45381,Success
240110066489,NVS_240110066489_17117239752687,202445487946346,1000,45381,Success
240110077613,NVS_240110077613_17117262613512,202445413169424,500,45381,Success
240110064186,NVS_240110064186_17116316811151,202445384148143,500,45381,Success
240110063423,NVS_240110063423_17116317793401,202445384067696,1000,45381,Success
240110064303,NVS_240110064303_17116327130633,202445383593175,2000,45381,Success
240110014896,NVS_240110014896_17116332724871,202445383324415,1000,45381,Success
240110048109,NVS_240110048109_17116301876397,202445315164462,3000,45381,Success
240110013431,NVS_240110013431_17112947965622,202444952545875,1000,45377,Success
240110012803,NVS_240110012803_17112950453604,202444947567205,500,45377,Success
240110092928,NVS_240110092928_17118683286503,202445665768590,1000,45384,Success
240110017560,NVS_240110017560_17112983591456,202444949221739,1000,45377,Success
240110018448,NVS_240110018448_17112996601525,202444950040328,2000,45377,Success
240110074064,NVS_240110074064_17117123268713,202445493794649,1500,45381,Success
240110075283,NVS_240110075283_17117133724649,202445493273886,3000,45381,Success
240110002046,NVS_240110002046_17111931196040,202444853422881,1000,45377,Success
240110002141,NVS_240110002141_17111931835419,202444846619026,1000,45377,Success
240110002874,NVS_240110002874_17111969900162,202444851476881,1500,45377,Success
240110003860,NVS_240110003860_17112005532328,202444800309047,500,45377,Success
240110077783,NVS_240110077783_17117273039016,202445413722358,1000,45381,Success
240110054485,NVS_240110054485_17119134043007,202445706780882,1000,45384,Success
240110098670,NVS_240110098670_17119172408667,202445791340205,500,45384,Success
240110083145,NVS_240110083145_17117828259504,202445558538715,500,45384,Success
240110083532,NVS_240110083532_17117867907555,202445543461804,3000,45384,Success
240110096920,NVS_240110096920_17119033857425,202445698236777,500,45384,Success
240110012925,NVS_240110012925_17112690362601,202444934569013,1000,45377,Success
240110097690,NVS_240110097690_17119082063619,202445695787702,500,45384,Success
240110067963,NVS_240110067963_17118992510004,202445650317104,500,45384,Success
240110096820,NVS_240110096820_17118976442368,202445648857355,1000,45384,Success
240110075448,NVS_240110075448_17117129216339,202445406486637,500,45381,Success
